id,id_index,kode_provinsi,nama_provinsi,periode_update,penyakit,kategori,jumlah,satuan,tahun
1,1,35,JAWA TIMUR,2021-01,DIARE AKUT,IGD,10,KASUS,2021
1,2,35,JAWA TIMUR,2021-01,DIARE AKUT,RAWAT INAP,23,KASUS,2021
2,3,35,JAWA TIMUR,2021-01,MALARIA KONFIRMASI,IGD,0,KASUS,2021
2,4,35,JAWA TIMUR,2021-01,MALARIA KONFIRMASI,RAWAT INAP,0,KASUS,2021
3,5,35,JAWA TIMUR,2021-01,SUSPEK DENGUE,IGD,1,KASUS,2021
3,6,35,JAWA TIMUR,2021-01,SUSPEK DENGUE,RAWAT INAP,5,KASUS,2021
4,7,35,JAWA TIMUR,2021-01,PNEMONIA,IGD,6,KASUS,2021
4,8,35,JAWA TIMUR,2021-01,PNEMONIA,RAWAT INAP,7,KASUS,2021
5,9,35,JAWA TIMUR,2021-01,DIARE BERDARAH/ DISENTRI,IGD,0,KASUS,2021
5,10,35,JAWA TIMUR,2021-01,DIARE BERDARAH/ DISENTRI,RAWAT INAP,0,KASUS,2021
6,11,35,JAWA TIMUR,2021-01,SUSPEK DEMAM TIFOID,IGD,1,KASUS,2021
6,12,35,JAWA TIMUR,2021-01,SUSPEK DEMAM TIFOID,RAWAT INAP,1,KASUS,2021
7,13,35,JAWA TIMUR,2021-01,SINDROM JAUNDICE AKUT,IGD,8,KASUS,2021
7,14,35,JAWA TIMUR,2021-01,SINDROM JAUNDICE AKUT,RAWAT INAP,0,KASUS,2021
8,15,35,JAWA TIMUR,2021-01,SUSPEK CHIKUNGUNYA,IGD,0,KASUS,2021
8,16,35,JAWA TIMUR,2021-01,SUSPEK CHIKUNGUNYA,RAWAT INAP,0,KASUS,2021
9,17,35,JAWA TIMUR,2021-01,SUSPEK FLU BURUNG PADA MANUSIA,IGD,0,KASUS,2021
9,18,35,JAWA TIMUR,2021-01,SUSPEK FLU BURUNG PADA MANUSIA,RAWAT INAP,0,KASUS,2021
10,19,35,JAWA TIMUR,2021-01,SUSPEK CAMPAK,IGD,0,KASUS,2021
10,20,35,JAWA TIMUR,2021-01,SUSPEK CAMPAK,RAWAT INAP,0,KASUS,2021
11,21,35,JAWA TIMUR,2021-01,SUSPEK DIFTERI,IGD,0,KASUS,2021
11,22,35,JAWA TIMUR,2021-01,SUSPEK DIFTERI,RAWAT INAP,0,KASUS,2021
12,23,35,JAWA TIMUR,2021-01,PERTUSSIS,IGD,0,KASUS,2021
12,24,35,JAWA TIMUR,2021-01,PERTUSSIS,RAWAT INAP,0,KASUS,2021
13,25,35,JAWA TIMUR,2021-01,ACUTE FLACID PARALYSIS (AFP),IGD,0,KASUS,2021
13,26,35,JAWA TIMUR,2021-01,ACUTE FLACID PARALYSIS (AFP),RAWAT INAP,0,KASUS,2021
14,27,35,JAWA TIMUR,2021-01,GIGITAN HEWAN PENULAR RABIES,IGD,0,KASUS,2021
14,28,35,JAWA TIMUR,2021-01,GIGITAN HEWAN PENULAR RABIES,RAWAT INAP,0,KASUS,2021
15,29,35,JAWA TIMUR,2021-01,SUSPEK ANTRAX,IGD,0,KASUS,2021
15,30,35,JAWA TIMUR,2021-01,SUSPEK ANTRAX,RAWAT INAP,0,KASUS,2021
16,31,35,JAWA TIMUR,2021-01,SUSPEK LEPTOSPIROSIS,IGD,0,KASUS,2021
16,32,35,JAWA TIMUR,2021-01,SUSPEK LEPTOSPIROSIS,RAWAT INAP,0,KASUS,2021
17,33,35,JAWA TIMUR,2021-01,SUSPEK KOLERA,IGD,0,KASUS,2021
17,34,35,JAWA TIMUR,2021-01,SUSPEK KOLERA,RAWAT INAP,1,KASUS,2021
18,35,35,JAWA TIMUR,2021-01,KLUSTER PENYAKIT YANG TIDAK LAZIM,IGD,0,KASUS,2021
18,36,35,JAWA TIMUR,2021-01,KLUSTER PENYAKIT YANG TIDAK LAZIM,RAWAT INAP,0,KASUS,2021
19,37,35,JAWA TIMUR,2021-01,SUSPEK MENINGITIS/ENCEPHALITIS,IGD,0,KASUS,2021
19,38,35,JAWA TIMUR,2021-01,SUSPEK MENINGITIS/ENCEPHALITIS,RAWAT INAP,0,KASUS,2021
20,39,35,JAWA TIMUR,2021-01,SUSPEK TETANUS NEONATORUM,IGD,0,KASUS,2021
20,40,35,JAWA TIMUR,2021-01,SUSPEK TETANUS NEONATORUM,RAWAT INAP,0,KASUS,2021
21,41,35,JAWA TIMUR,2021-01,SUSPEK TETANUS,IGD,0,KASUS,2021
21,42,35,JAWA TIMUR,2021-01,SUSPEK TETANUS,RAWAT INAP,0,KASUS,2021
22,43,35,JAWA TIMUR,2021-01,ILI (PENYAKIT SERUPA INFLUENZA),IGD,0,KASUS,2021
22,44,35,JAWA TIMUR,2021-01,ILI (PENYAKIT SERUPA INFLUENZA),RAWAT INAP,0,KASUS,2021
23,45,35,JAWA TIMUR,2021-01,SUSPEK HFMD (HAND FOOT MOUTH DISEASE),IGD,0,KASUS,2021
23,46,35,JAWA TIMUR,2021-01,SUSPEK HFMD (HAND FOOT MOUTH DISEASE),RAWAT INAP,0,KASUS,2021
24,47,35,JAWA TIMUR,2021-02,DIARE AKUT,IGD,25,KASUS,2021
24,48,35,JAWA TIMUR,2021-02,DIARE AKUT,RAWAT INAP,18,KASUS,2021
25,49,35,JAWA TIMUR,2021-02,MALARIA KONFIRMASI,IGD,0,KASUS,2021
25,50,35,JAWA TIMUR,2021-02,MALARIA KONFIRMASI,RAWAT INAP,0,KASUS,2021
26,51,35,JAWA TIMUR,2021-02,SUSPEK DENGUE,IGD,1,KASUS,2021
26,52,35,JAWA TIMUR,2021-02,SUSPEK DENGUE,RAWAT INAP,2,KASUS,2021
27,53,35,JAWA TIMUR,2021-02,PNEMONIA,IGD,11,KASUS,2021
27,54,35,JAWA TIMUR,2021-02,PNEMONIA,RAWAT INAP,8,KASUS,2021
28,55,35,JAWA TIMUR,2021-02,DIARE BERDARAH/ DISENTRI,IGD,0,KASUS,2021
28,56,35,JAWA TIMUR,2021-02,DIARE BERDARAH/ DISENTRI,RAWAT INAP,0,KASUS,2021
29,57,35,JAWA TIMUR,2021-02,SUSPEK DEMAM TIFOID,IGD,1,KASUS,2021
29,58,35,JAWA TIMUR,2021-02,SUSPEK DEMAM TIFOID,RAWAT INAP,0,KASUS,2021
30,59,35,JAWA TIMUR,2021-02,SINDROM JAUNDICE AKUT,IGD,25,KASUS,2021
30,60,35,JAWA TIMUR,2021-02,SINDROM JAUNDICE AKUT,RAWAT INAP,5,KASUS,2021
31,61,35,JAWA TIMUR,2021-02,SUSPEK CHIKUNGUNYA,IGD,0,KASUS,2021
31,62,35,JAWA TIMUR,2021-02,SUSPEK CHIKUNGUNYA,RAWAT INAP,0,KASUS,2021
32,63,35,JAWA TIMUR,2021-02,SUSPEK FLU BURUNG PADA MANUSIA,IGD,0,KASUS,2021
32,64,35,JAWA TIMUR,2021-02,SUSPEK FLU BURUNG PADA MANUSIA,RAWAT INAP,0,KASUS,2021
33,65,35,JAWA TIMUR,2021-02,SUSPEK CAMPAK,IGD,0,KASUS,2021
33,66,35,JAWA TIMUR,2021-02,SUSPEK CAMPAK,RAWAT INAP,0,KASUS,2021
34,67,35,JAWA TIMUR,2021-02,SUSPEK DIFTERI,IGD,0,KASUS,2021
34,68,35,JAWA TIMUR,2021-02,SUSPEK DIFTERI,RAWAT INAP,0,KASUS,2021
35,69,35,JAWA TIMUR,2021-02,PERTUSSIS,IGD,0,KASUS,2021
35,70,35,JAWA TIMUR,2021-02,PERTUSSIS,RAWAT INAP,0,KASUS,2021
36,71,35,JAWA TIMUR,2021-02,ACUTE FLACID PARALYSIS (AFP),IGD,0,KASUS,2021
36,72,35,JAWA TIMUR,2021-02,ACUTE FLACID PARALYSIS (AFP),RAWAT INAP,0,KASUS,2021
37,73,35,JAWA TIMUR,2021-02,GIGITAN HEWAN PENULAR RABIES,IGD,0,KASUS,2021
37,74,35,JAWA TIMUR,2021-02,GIGITAN HEWAN PENULAR RABIES,RAWAT INAP,0,KASUS,2021
38,75,35,JAWA TIMUR,2021-02,SUSPEK ANTRAX,IGD,0,KASUS,2021
